,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11,Year_of_debut,Last_played,Country
0,['SR Tendulkar '],1989-2013,200,329,33,15921,248,53.78,51,68,14,,1989,2013,IND
1,['RT Ponting '],1995-2012,168,287,29,13378,257,51.85,41,62,17,,1995,2012,AUS
2,['JH Kallis '],1995-2013,166,280,40,13289,224,55.37,45,58,16,,1995,2013,SA
3,['R Dravid '],1996-2012,164,286,32,13288,270,52.31,36,63,8,,1996,2012,IND
4,['JE Root '],2012-2024,151,276,23,12886,262,50.93,36,64,13,,2012,2024,ENG
5,['AN Cook '],2006-2018,161,291,16,12472,294,45.35,33,57,9,,2006,2018,ENG
6,['KC Sangakkara '],2000-2015,134,233,17,12400,319,57.4,38,52,11,,2000,2015,SL
7,['BC Lara '],1990-2006,131,232,6,11953,400,52.88,34,48,17,,1990,2006,WI
8,['S Chanderpaul '],1994-2015,164,280,49,11867,203,51.37,30,66,15,,1994,2015,WI
9,['DPMD Jayawardene '],1997-2014,149,252,15,11814,374,49.84,34,50,15,,1997,2014,SL
10,['AR Border '],1978-1994,156,265,44,11174,205,50.56,27,63,11,,1978,1994,AUS
11,['SR Waugh '],1985-2004,168,260,46,10927,200,51.06,32,50,22,,1985,2004,AUS
12,['SM Gavaskar '],1971-1987,125,214,16,10122,236,51.12,34,45,12,,1971,1987,IND
13,['Younis Khan '],2000-2017,118,213,19,10099,313,52.05,34,33,19,,2000,2017,PAK
14,['SPD Smith '],2010-2024,111,198,25,9704,239,56.09,32,41,11,,2010,2024,AUS
15,['HM Amla '],2004-2019,124,215,16,9282,311,46.64,28,41,13,,2004,2019,SA
16,['GC Smith '],2002-2014,117,205,13,9265,277,48.25,27,38,11,,2002,2014,SA
17,['V Kohli '],2011-2024,120,205,13,9163,254,47.72,30,31,15,,2011,2024,IND
18,['KS Williamson '],2010-2024,104,184,17,9076,251,54.34,32,37,11,,2010,2024,NZ
19,['GA Gooch '],1975-1995,118,215,6,8900,333,42.58,20,46,13,,1975,1995,ENG
20,['Javed Miandad '],1976-1993,124,189,21,8832,280,52.57,23,43,6,,1976,1993,PAK
21,['Inzamam-ul-Haq '],1992-2007,120,200,22,8830,329,49.6,25,46,15,,1992,2007,PAK
22,['DA Warner '],2011-2024,112,205,8,8786,335,44.59,26,37,13,,2011,2024,AUS
23,['VVS Laxman '],1996-2012,134,225,34,8781,281,45.97,17,56,14,,1996,2012,IND
24,['AB de Villiers '],2004-2018,114,191,18,8765,278,50.66,22,46,8,,2004,2018,SA
25,['MJ Clarke '],2004-2015,115,198,22,8643,329,49.1,28,27,9,,2004,2015,AUS
26,['ML Hayden '],1994-2009,103,184,14,8625,380,50.73,30,29,14,,1994,2009,AUS
27,['V Sehwag '],2001-2013,104,180,6,8586,319,49.34,23,32,16,,2001,2013,IND
28,['IVA Richards '],1974-1991,121,182,12,8540,291,50.23,24,45,10,,1974,1991,WI
29,['AJ Stewart '],1990-2003,133,235,21,8463,190,39.54,15,45,14,,1990,2003,ENG
30,['DI Gower '],1978-1992,117,204,18,8231,215,44.25,18,39,7,,1978,1992,ENG
31,['KP Pietersen '],2005-2014,104,181,8,8181,227,47.28,23,35,10,,2005,2014,ENG
32,['G Boycott '],1964-1982,108,193,23,8114,246,47.72,22,42,10,,1964,1982,ENG
33,['AD Mathews '],2009-2024,116,206,27,8042,200,44.92,16,44,6,,2009,2024,SL
34,['GS Sobers '],1954-1974,93,160,21,8032,365,57.78,26,30,12,,1954,1974,WI
35,['ME Waugh '],1991-2002,128,209,17,8029,153,41.81,20,47,19,,1991,2002,AUS
36,['MA Atherton '],1989-2001,115,212,7,7728,185,37.69,16,46,20,,1989,2001,ENG
37,['IR Bell '],2004-2015,118,205,24,7727,235,42.69,22,46,14,,2004,2015,ENG
38,['JL Langer '],1993-2007,105,182,12,7696,250,45.27,23,30,11,,1993,2007,AUS
39,['LRPL Taylor '],2007-2022,112,196,24,7683,290,44.66,19,35,14,,2007,2022,NZ
40,['MC Cowdrey '],1954-1975,114,188,15,7624,182,44.06,22,38,9,,1954,1975,ENG
41,['CG Greenidge '],1974-1991,108,185,16,7558,226,44.72,19,34,11,,1974,1991,WI
42,['Mohammad Yousuf '],1998-2010,90,156,12,7530,223,52.29,24,33,11,,1998,2010,PAK
43,['MA Taylor '],1989-1999,104,186,13,7525,334,43.49,19,40,5,,1989,1999,AUS
44,['CH Lloyd '],1966-1985,110,175,14,7515,242,46.67,19,39,4,,1966,1985,WI
45,['DL Haynes '],1978-1994,116,202,25,7487,184,42.29,18,39,10,,1978,1994,WI
46,['DC Boon '],1984-1996,107,190,20,7422,200,43.65,21,32,16,,1984,1996,AUS
47,['G Kirsten '],1993-2004,101,176,15,7289,275,45.27,21,34,13,,1993,2004,SA
48,['WR Hammond '],1927-1947,85,140,16,7249,336,58.45,22,24,4,,1927,1947,ENG
49,['CH Gayle '],2000-2014,103,182,11,7214,333,42.18,15,37,15,,2000,2014,WI
50,['SC Ganguly '],1996-2008,113,188,17,7212,239,42.17,16,35,13,,1996,2008,IND
51,['CA Pujara '],2010-2023,103,176,11,7195,206,43.6,19,35,12,,2010,2023,IND
52,['SP Fleming '],1994-2008,111,189,10,7172,274,40.06,9,46,16,,1994,2008,NZ
53,['FDM Karunaratne '],2012-2024,98,187,7,7165,244,39.8,16,39,12,,2012,2024,SL
54,['Azhar Ali '],2010-2022,97,180,11,7142,302,42.26,19,35,19,,2010,2022,PAK
55,['GS Chappell '],1970-1984,87,151,19,7110,247,53.86,24,31,12,,1970,1984,AUS
56,['AJ Strauss '],2004-2012,100,178,6,7037,177,40.91,21,27,15,,2004,2012,ENG
57,['DG Bradman '],1928-1948,52,80,10,6996,334,99.94,29,13,7,,1928,1948,AUS
58,['ST Jayasuriya '],1991-2007,110,188,14,6973,340,40.07,14,31,15,,1991,2007,SL
59,['L Hutton '],1937-1955,79,138,15,6971,364,56.67,19,33,5,,1937,1955,ENG
60,['DB Vengsarkar '],1976-1992,116,185,22,6868,166,42.13,17,35,15,,1976,1992,IND
61,['KF Barrington '],1955-1968,82,131,15,6806,256,58.67,20,35,5,,1955,1968,ENG
62,['GP Thorpe '],1993-2005,100,179,28,6744,200,44.66,16,39,12,,1993,2005,ENG
63,['BA Stokes '],2013-2024,109,197,9,6692,258,35.59,13,35,15,,2013,2024,ENG
64,['BB McCullum '],2004-2016,101,176,9,6453,302,38.64,12,31,14,,2004,2016,NZ
65,['PA de Silva '],1984-2002,93,159,11,6361,267,42.97,20,22,7,,1984,2002,SL
66,['MEK Hussey '],2005-2013,79,137,16,6235,195,51.52,19,29,12,,2005,2013,AUS
67,['RB Kanhai '],1957-1974,79,137,6,6227,256,47.53,15,28,7,,1957,1974,WI
68,['M Azharuddin '],1984-2000,99,147,9,6215,199,45.03,22,21,5,,1984,2000,IND
69,['HH Gibbs '],1996-2008,90,154,7,6167,228,41.95,14,26,11,,1996,2008,SA
70,['RN Harvey '],1948-1963,79,137,10,6149,205,48.41,21,24,7,,1948,1963,AUS
71,['GR Viswanath '],1969-1983,91,155,10,6080,222,41.93,14,35,10,,1969,1983,IND
72,['JM Bairstow '],2012-2024,100,178,12,6042,167,36.39,12,26,17,,2012,2024,ENG
73,['LD Chandimal '],2011-2024,86,154,15,6019,206,43.3,16,30,8,,2011,2024,SL
74,['Mushfiqur Rahim '],2005-2024,94,174,15,6007,219,37.77,11,27,13,,2005,2024,BAN
75,['RB Richardson '],1983-1995,86,146,12,5949,194,44.39,16,27,8,,1983,1995,WI
76,['KC Brathwaite '],2011-2024,96,185,10,5851,212,33.43,12,30,18,,2011,2024,WI
77,['RR Sarwan '],2000-2011,87,154,8,5842,291,40.01,15,31,12,,2000,2011,WI
78,['ME Trescothick '],2000-2006,76,143,10,5825,219,43.79,14,29,12,,2000,2006,ENG
79,['DCS Compton '],1937-1957,78,131,15,5807,278,50.06,17,28,10,,1937,1957,ENG
80,['Saleem Malik '],1982-1999,103,154,22,5768,237,43.69,15,29,12,,1982,1999,PAK
81,['N Hussain '],1990-2004,96,171,16,5764,207,37.18,14,33,14,,1990,2004,ENG
82,['CL Hooper '],1987-2002,102,173,15,5762,233,36.46,13,27,13,,1987,2002,WI
83,['TWM Latham '],2014-2024,87,156,6,5752,264,38.34,13,30,13,,2014,2024,NZ
84,['MP Vaughan '],1999-2008,82,147,9,5719,197,41.44,18,18,9,,1999,2008,ENG
