Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root (ENG),16,29,3,1470,262,56.53,2349,62.57,6,4,1,131,2
YBK Jaiswal (IND),13,25,1,1304,214,54.33,1797,72.56,3,7,3,148,35
BM Duckett (ENG),16,30,1,1134,153,39.1,1303,87.02,2,6,2,151,7
HC Brook (ENG),11,18,0,1099,317,61.05,1287,85.39,4,3,0,105,14
PHKD Mendis (SL),9,16,2,1049,182,74.92,1582,66.3,5,3,0,108,21
OJ Pope (ENG),16,28,0,953,196,34.03,1365,69.81,3,4,3,113,5
R Ravindra (NZ),11,22,1,922,240,43.9,1521,60.61,2,4,1,95,10
Shubman Gill (IND),11,21,2,865,119,45.52,1390,62.23,3,3,3,88,18
KS Williamson (NZ),8,16,1,813,133,54.2,1570,51.78,3,4,1,88,5
LD Chandimal (SL),10,17,0,724,116,42.58,1326,54.6,2,5,3,86,3
DM de Silva (SL),10,17,0,710,108,41.76,1116,63.62,2,6,2,81,7
AD Mathews (SL),10,18,1,681,141,40.05,1401,48.6,1,4,1,63,6
Z Crawley (ENG),13,23,0,669,79,29.08,937,71.39,0,6,3,93,7
JL Smith (ENG),9,15,0,637,111,42.46,881,72.3,1,4,0,63,15
Mehidy Hasan Miraz (BAN),10,18,2,614,97,38.37,1113,55.16,0,4,0,78,4
RG Sharma (IND),12,23,1,597,131,27.13,910,65.6,2,2,1,76,11
BA Stokes (ENG),12,22,2,575,80,28.75,873,65.86,0,5,1,57,9
TWM Latham (NZ),11,22,0,551,86,25.04,1066,51.68,0,3,2,63,1
FDM Karunaratne (SL),10,19,1,534,86,29.66,925,57.72,0,5,0,61,3
DJ Mitchell (NZ),10,19,1,533,84,29.61,1097,48.58,0,4,0,48,9
Mominul Haque (BAN),10,19,2,529,107,31.11,956,55.33,1,5,5,66,5
KAR Hodge (WI),9,18,0,516,120,28.66,1029,50.14,1,3,1,69,2
Mohammad Rizwan (PAK),6,11,1,509,171,50.9,832,61.17,1,2,1,44,6
RR Pant (IND),7,14,1,509,109,39.15,636,80.03,1,3,1,60,13
DG Bedingham (SA),9,16,1,496,110,33.06,742,66.84,1,2,1,55,12
BKG Mendis (SL),9,16,1,490,106,32.66,729,67.21,1,2,2,59,6
T Stubbs (SA),7,13,1,490,122,40.83,914,53.61,2,1,0,40,8
GD Phillips (NZ),11,19,4,487,78,32.46,659,73.89,0,3,1,45,18
T de Zorzi (SA),7,13,0,454,177,34.92,784,57.9,1,1,1,44,6
A Athanaze (WI),9,18,0,448,92,24.88,796,56.28,0,3,1,50,2
Saud Shakeel (PAK),6,11,0,446,141,40.54,832,53.6,2,1,1,31,0
TM Head (AUS),7,11,0,438,140,39.81,524,83.58,2,1,2,47,8
Agha Salman (PAK),6,11,2,435,104,48.33,626,69.48,1,4,2,45,7
T Bavuma (SA),4,8,1,432,113,61.71,789,54.75,1,4,1,37,5
RA Jadeja (IND),10,15,0,431,112,28.73,857,50.29,1,2,2,32,10
AK Markram (SA),7,13,0,410,106,31.53,624,65.7,1,2,0,51,4
TA Blundell (NZ),11,20,1,401,115,21.1,560,71.6,1,1,3,42,8
Litton Das (BAN),9,16,0,394,138,24.62,677,58.19,1,1,1,45,5
DP Conway (NZ),9,18,0,386,91,21.44,700,55.14,0,3,2,47,5
KL Rahul (IND),7,12,1,381,86,34.63,664,57.37,0,3,1,41,4
P Nissanka (SL),6,11,1,380,127,38.0,499,76.15,1,2,0,50,3
K Verreynne (SA),7,10,1,380,114,42.22,564,67.37,2,1,1,40,5
WA Young (NZ),6,12,2,379,71,37.9,831,45.6,0,3,0,37,5
V Kohli (IND),8,16,2,373,100,26.64,542,68.81,1,1,1,39,5
KC Brathwaite (WI),9,18,0,372,61,20.66,879,42.32,0,1,2,40,2
SN Khan (IND),6,11,1,371,150,37.1,495,74.94,1,3,3,44,8
Shan Masood (PAK),6,12,1,365,151,33.18,522,69.92,1,1,1,31,3
Shadman Islam (BAN),7,14,1,364,93,28.0,733,49.65,0,3,2,45,1
J Da Silva (WI),9,18,2,356,82,22.25,675,52.74,0,2,1,32,5
M Louis (WI),7,14,0,333,97,23.78,776,42.91,0,2,1,38,4
Zero, 0, 0 ,0,0,0,0,0,0,0,0,0,0,0
